timestamp,timeIntervalSince1970,x,y,z
"2025-11-04 10:08:00.228 +0000",1762250880.228000,-0.134747,0.036371,0.095590
"2025-11-04 10:08:00.238 +0000",1762250880.237981,-0.320306,-0.168347,0.018440
"2025-11-04 10:08:00.248 +0000",1762250880.247962,-0.355225,-0.396447,-0.058466
"2025-11-04 10:08:00.258 +0000",1762250880.257943,-0.222810,-0.469050,-0.126259
"2025-11-04 10:08:00.268 +0000",1762250880.267924,-0.044311,-0.355212,-0.194702
"2025-11-04 10:08:00.278 +0000",1762250880.277905,0.083806,-0.199139,-0.257122
"2025-11-04 10:08:00.288 +0000",1762250880.287887,0.163189,-0.042111,-0.309090
"2025-11-04 10:08:00.298 +0000",1762250880.297868,0.194894,0.103866,-0.327630
"2025-11-04 10:08:00.308 +0000",1762250880.307848,0.152755,0.141316,-0.315040
"2025-11-04 10:08:00.318 +0000",1762250880.317829,0.066324,0.091676,-0.295797
"2025-11-04 10:08:00.328 +0000",1762250880.327810,-0.045446,0.009755,-0.269295
"2025-11-04 10:08:00.338 +0000",1762250880.337791,-0.129859,-0.098700,-0.230388
"2025-11-04 10:08:00.348 +0000",1762250880.347773,-0.189022,-0.198312,-0.190300
"2025-11-04 10:08:00.358 +0000",1762250880.357754,-0.225163,-0.249170,-0.133898
"2025-11-04 10:08:00.368 +0000",1762250880.367735,-0.244796,-0.255383,-0.067909
"2025-11-04 10:08:00.378 +0000",1762250880.377716,-0.247186,-0.222669,0.004731
"2025-11-04 10:08:00.388 +0000",1762250880.387697,-0.217996,-0.172680,0.053479
"2025-11-04 10:08:00.398 +0000",1762250880.397679,-0.166081,-0.100409,0.079457
"2025-11-04 10:08:00.408 +0000",1762250880.407660,-0.124369,-0.049945,0.064961
"2025-11-04 10:08:00.418 +0000",1762250880.417641,-0.060200,-0.043767,0.005015
"2025-11-04 10:08:00.428 +0000",1762250880.427623,0.023985,-0.036253,-0.081058
"2025-11-04 10:08:00.438 +0000",1762250880.437603,0.094705,-0.055314,-0.158354
"2025-11-04 10:08:00.448 +0000",1762250880.447584,0.139095,-0.112957,-0.215624
"2025-11-04 10:08:00.458 +0000",1762250880.457566,0.146400,-0.187155,-0.250623
"2025-11-04 10:08:00.468 +0000",1762250880.467547,0.098394,-0.250996,-0.223517
"2025-11-04 10:08:00.478 +0000",1762250880.477529,-0.006497,-0.308626,-0.155832
"2025-11-04 10:08:00.488 +0000",1762250880.487510,-0.112580,-0.376208,-0.090322
"2025-11-04 10:08:00.497 +0000",1762250880.497491,-0.193935,-0.451366,-0.039849
"2025-11-04 10:08:00.507 +0000",1762250880.507471,-0.224287,-0.453075,0.009805
"2025-11-04 10:08:00.517 +0000",1762250880.517454,-0.217666,-0.407671,0.041132
"2025-11-04 10:08:00.527 +0000",1762250880.527435,-0.176434,-0.329958,0.032778
"2025-11-04 10:08:00.537 +0000",1762250880.537415,-0.113842,-0.253038,-0.020421
"2025-11-04 10:08:00.547 +0000",1762250880.547396,-0.045793,-0.214552,-0.079797
"2025-11-04 10:08:00.557 +0000",1762250880.557377,0.002686,-0.206876,-0.120403
"2025-11-04 10:08:00.567 +0000",1762250880.567359,0.008619,-0.219925,-0.165125
"2025-11-04 10:08:00.577 +0000",1762250880.577340,-0.037772,-0.273305,-0.188256
"2025-11-04 10:08:00.587 +0000",1762250880.587322,-0.131958,-0.353656,-0.174878
"2025-11-04 10:08:00.597 +0000",1762250880.597302,-0.233283,-0.441827,-0.160942
"2025-11-04 10:08:00.607 +0000",1762250880.607283,-0.297109,-0.513599,-0.155054
"2025-11-04 10:08:00.617 +0000",1762250880.617265,-0.330088,-0.573105,-0.161601
"2025-11-04 10:08:00.627 +0000",1762250880.627246,-0.337869,-0.561131,-0.176318
"2025-11-04 10:08:00.637 +0000",1762250880.637227,-0.320383,-0.475767,-0.187500
"2025-11-04 10:08:00.647 +0000",1762250880.647209,-0.270460,-0.379326,-0.193300
"2025-11-04 10:08:00.657 +0000",1762250880.657189,-0.194239,-0.329624,-0.203426
"2025-11-04 10:08:00.667 +0000",1762250880.667171,-0.095388,-0.220881,-0.193103
"2025-11-04 10:08:00.677 +0000",1762250880.677151,-0.015435,-0.103906,-0.157118
"2025-11-04 10:08:00.687 +0000",1762250880.687133,0.032520,-0.038119,-0.133002
"2025-11-04 10:08:00.697 +0000",1762250880.697115,0.038787,-0.165996,-0.108921
"2025-11-04 10:08:00.707 +0000",1762250880.707095,0.098488,-0.226587,0.181738
"2025-11-04 10:08:00.717 +0000",1762250880.717076,0.100948,-0.132882,0.492540
"2025-11-04 10:08:00.727 +0000",1762250880.727057,0.190206,-0.143258,0.487138
"2025-11-04 10:08:00.737 +0000",1762250880.737040,0.190635,-0.156946,0.411470
"2025-11-04 10:08:00.747 +0000",1762250880.747020,0.122127,-0.109652,0.349964
"2025-11-04 10:08:00.757 +0000",1762250880.757001,0.079832,-0.153188,0.278689
"2025-11-04 10:08:00.767 +0000",1762250880.766982,0.018438,-0.187013,0.225339
"2025-11-04 10:08:00.777 +0000",1762250880.776963,-0.072150,-0.171272,0.191630
"2025-11-04 10:08:00.787 +0000",1762250880.786944,-0.164962,-0.128847,0.170010
"2025-11-04 10:08:00.797 +0000",1762250880.796928,-0.216455,-0.059769,0.136570
"2025-11-04 10:08:00.807 +0000",1762250880.806907,-0.195993,0.008664,0.121400
"2025-11-04 10:08:00.817 +0000",1762250880.816889,-0.092565,0.043709,0.114219
"2025-11-04 10:08:00.827 +0000",1762250880.826870,0.033899,0.046578,0.091917
"2025-11-04 10:08:00.837 +0000",1762250880.836850,0.104497,0.048519,0.050339
"2025-11-04 10:08:00.847 +0000",1762250880.846831,0.093208,0.063316,0.003231
"2025-11-04 10:08:00.857 +0000",1762250880.856814,0.041581,0.079217,-0.052762
"2025-11-04 10:08:00.867 +0000",1762250880.866795,0.005274,0.097217,-0.104102
"2025-11-04 10:08:00.877 +0000",1762250880.876776,0.031846,0.099598,-0.131818
"2025-11-04 10:08:00.887 +0000",1762250880.886757,0.114979,0.069738,-0.125851
"2025-11-04 10:08:00.897 +0000",1762250880.896738,0.215351,-0.010781,-0.097493
"2025-11-04 10:08:00.907 +0000",1762250880.906720,0.275074,-0.088053,-0.050461
"2025-11-04 10:08:00.917 +0000",1762250880.916701,0.264485,-0.112110,0.018196
