
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.081393,-0.0750,0.8216,0.2986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.082673,-0.0750,0.8216,0.2986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.083150,-0.0750,0.8216,0.2986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.083543,-0.0750,0.8216,0.2986,0.0000,0.0000,0.0000,0.0037,0.0182,-0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.084015,-0.0750,0.8216,0.2986,0.3825,-0.0777,0.0023,0.0037,0.0182,-0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.118403,-0.0750,0.8216,0.2986,0.3825,-0.0777,0.0023,0.0037,0.0182,-0.0008,55.2353,-48.0560,16.7297,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.141825,-0.0750,0.8216,0.2986,0.2662,-0.4008,1.9733,0.0037,0.0182,-0.0008,55.2353,-48.0560,16.7297,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.142922,-0.1824,0.7479,0.5252,0.2662,-0.4008,1.9733,0.0037,0.0182,-0.0008,55.2353,-48.0560,16.7297,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.143587,0.1602,0.7645,0.6600,0.2662,-0.4008,1.9733,0.0037,0.0182,-0.0008,55.2353,-48.0560,16.7297,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
0.144267,-0.0950,0.8043,0.6158,0.2662,-0.4008,1.9733,0.0037,0.0182,-0.0008,55.2353,-48.0560,16.7297,0.0000,0.0000,0.0000,40.99978314,-74.33480194,0.00000000,
