
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.086767,0.0063,1.0145,-0.1646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.088316,0.0063,1.0145,-0.1646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.088742,0.0063,1.0145,-0.1646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.089187,0.0063,1.0145,-0.1646,0.0000,0.0000,0.0000,0.0016,-0.0035,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.089774,0.0063,1.0145,-0.1646,0.3471,0.0882,-0.3776,0.0016,-0.0035,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.110146,0.0063,1.0145,-0.1646,0.3471,0.0882,-0.3776,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.144980,0.0063,1.0145,-0.1646,-0.0255,-0.0094,0.0160,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.146316,0.0063,1.0145,-0.1646,-0.0255,-0.0094,0.0160,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.147236,-0.0459,1.0089,-0.1294,-0.0255,-0.0094,0.0160,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.148131,-0.0083,1.0201,-0.1709,-0.0255,-0.0094,0.0160,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.148981,-0.0444,0.9828,-0.0740,-0.0255,-0.0094,0.0160,0.0016,-0.0035,0.0183,-3.1509,-26.0635,23.7305,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.149834,-0.0444,0.9828,-0.0740,-0.0255,-0.0094,0.0160,0.0176,0.0857,-0.0092,-3.1509,-26.0635,23.7305,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.160993,-0.0444,0.9828,-0.0740,-0.0255,-0.0094,0.0160,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.204946,-0.0444,0.9828,-0.0740,-0.2678,-0.0840,0.0884,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,168.7595,-97.1693,-1.7122,0.00000000,0.00000000,0.00000000,
0.206209,-0.0444,0.9828,-0.0740,-0.2678,-0.0840,0.0884,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.207133,-0.0818,0.9857,-0.0723,-0.2678,-0.0840,0.0884,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.208061,-0.0781,0.9989,-0.1353,-0.2678,-0.0840,0.0884,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.208929,-0.0420,0.9955,-0.1377,-0.2678,-0.0840,0.0884,0.0176,0.0857,-0.0092,3.5233,-8.6166,27.7786,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.209788,-0.0420,0.9955,-0.1377,-0.2678,-0.0840,0.0884,0.0093,0.0891,-0.0214,3.5233,-8.6166,27.7786,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.210732,-0.0420,0.9955,-0.1377,-0.2678,-0.0840,0.0884,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.263172,-0.0420,0.9955,-0.1377,-0.1741,-0.0806,0.0569,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.264492,-0.0508,0.9989,-0.0925,-0.1741,-0.0806,0.0569,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.265301,-0.0723,0.9881,-0.1072,-0.1741,-0.0806,0.0569,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.266082,-0.0654,0.9877,-0.1521,-0.1741,-0.0806,0.0569,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,169.3139,-97.0608,-2.2677,0.00000000,0.00000000,0.00000000,
0.266926,-0.0654,0.9877,-0.1521,-0.1741,-0.0806,0.0569,0.0093,0.0891,-0.0214,6.5231,-7.8796,27.7847,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.267783,-0.0654,0.9877,-0.1521,-0.1741,-0.0806,0.0569,0.0038,0.0942,-0.0228,6.5231,-7.8796,27.7847,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.309007,-0.0654,0.9877,-0.1521,-0.1741,-0.0806,0.0569,0.0038,0.0942,-0.0228,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.321394,-0.0505,1.0040,-0.1294,-0.1741,-0.0806,0.0569,0.0038,0.0942,-0.0228,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.322508,-0.0527,0.9947,-0.0886,-0.1741,-0.0806,0.0569,0.0038,0.0942,-0.0228,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.323411,-0.0718,0.9789,-0.1506,-0.1741,-0.0806,0.0569,0.0038,0.0942,-0.0228,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.324331,-0.0718,0.9789,-0.1506,-0.1741,-0.0806,0.0569,0.0003,0.0987,-0.0210,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
0.325200,-0.0718,0.9789,-0.1506,-0.1043,-0.0587,0.0039,0.0003,0.0987,-0.0210,6.3568,-8.2611,28.4576,170.4668,-97.0188,-2.5617,0.00000000,0.00000000,0.00000000,
