
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.089620,0.1060,1.0206,-0.1992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.091175,0.1060,1.0206,-0.1992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.091965,0.1060,1.0206,-0.1992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.092607,0.1060,1.0206,-0.1992,0.0000,0.0000,0.0000,-0.0844,0.0376,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.093632,0.1060,1.0206,-0.1992,0.4162,0.0970,-0.6089,-0.0844,0.0376,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.148454,-0.0142,0.9735,-0.0742,0.4162,0.0970,-0.6089,-0.0844,0.0376,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.149953,-0.1050,0.9877,-0.2974,0.4162,0.0970,-0.6089,-0.0844,0.0376,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.151184,-0.0774,1.0555,-0.1848,0.4162,0.0970,-0.6089,-0.0844,0.0376,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.152253,-0.0774,1.0555,-0.1848,0.4162,0.0970,-0.6089,0.0288,0.0521,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.153106,-0.0774,1.0555,-0.1848,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.154160,-0.0774,1.0555,-0.1848,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,6.5796,-8.5907,18.6142,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.203803,-0.0774,1.0555,-0.1848,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.207946,-0.0264,1.0353,-0.1309,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.208793,-0.0798,0.9581,-0.0505,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.209545,-0.1423,1.0023,-0.2674,-0.8415,-0.0325,-0.3062,0.0288,0.0521,-0.0107,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.210444,-0.1423,1.0023,-0.2674,-0.8415,-0.0325,-0.3062,-0.0001,0.0472,-0.0177,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.211772,-0.1423,1.0023,-0.2674,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,7.2601,-8.7616,18.4021,0.0000,0.0000,0.0000,40.98763840,-74.32459083,20.59000015,
0.212897,-0.1423,1.0023,-0.2674,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,7.2601,-8.7616,18.4021,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.254129,-0.1423,1.0023,-0.2674,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.266614,-0.0452,1.0358,-0.1301,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.272242,0.0100,0.9647,-0.1931,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.277111,-0.1629,0.9996,-0.1538,-0.7540,-0.0760,0.0337,-0.0001,0.0472,-0.0177,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.280457,-0.1629,0.9996,-0.1538,-0.7540,-0.0760,0.0337,-0.0066,0.0429,-0.0105,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.282947,-0.1629,0.9996,-0.1538,-0.4693,-0.0497,-0.0499,-0.0066,0.0429,-0.0105,6.9077,-9.7305,19.1101,200.8871,-98.6470,-0.3330,40.98763840,-74.32459083,20.59000015,
0.285766,-0.1629,0.9996,-0.1538,-0.4693,-0.0497,-0.0499,-0.0066,0.0429,-0.0105,6.9077,-9.7305,19.1101,200.5017,-98.7076,-1.0210,40.98763840,-74.32459083,20.59000015,
0.307245,-0.1629,0.9996,-0.1538,-0.4693,-0.0497,-0.0499,-0.0066,0.0429,-0.0105,6.6635,-10.0433,16.5115,200.5017,-98.7076,-1.0210,40.98763840,-74.32459083,20.59000015,
0.327085,-0.0798,1.0409,-0.1829,-0.4693,-0.0497,-0.0499,-0.0066,0.0429,-0.0105,6.6635,-10.0433,16.5115,200.5017,-98.7076,-1.0210,40.98763840,-74.32459083,20.59000015,
0.330399,-0.0518,0.9710,-0.1653,-0.4693,-0.0497,-0.0499,-0.0066,0.0429,-0.0105,6.6635,-10.0433,16.5115,200.5017,-98.7076,-1.0210,40.98763840,-74.32459083,20.59000015,
