
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.078689,-0.1004,0.9884,-0.2102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.079863,-0.1004,0.9884,-0.2102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.080240,-0.1004,0.9884,-0.2102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.080548,-0.1004,0.9884,-0.2102,0.0000,0.0000,0.0000,-0.0018,-0.0072,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.081208,-0.1004,0.9884,-0.2102,0.0000,0.0000,-0.0000,-0.0018,-0.0072,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.111478,-0.1004,0.9884,-0.2102,0.0000,0.0000,-0.0000,-0.0018,-0.0072,0.0202,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.138201,-0.1004,0.9884,-0.2102,0.0605,0.0449,-0.3001,-0.0018,-0.0072,0.0202,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.139348,-0.2097,1.0243,-0.2385,0.0605,0.0449,-0.3001,-0.0018,-0.0072,0.0202,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.139989,-0.1257,1.0441,-0.0129,0.0605,0.0449,-0.3001,-0.0018,-0.0072,0.0202,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.140592,-0.3037,0.8499,0.0083,0.0605,0.0449,-0.3001,-0.0018,-0.0072,0.0202,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.141172,-0.3037,0.8499,0.0083,0.0605,0.0449,-0.3001,-0.0299,0.0441,-0.0179,0.1526,-10.6400,21.3852,0.0000,0.0000,0.0000,40.99961931,-74.33481262,0.00000000,
0.141809,-0.3037,0.8499,0.0083,0.0605,0.0449,-0.3001,-0.0299,0.0441,-0.0179,0.1526,-10.6400,21.3852,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.161557,-0.3037,0.8499,0.0083,0.0605,0.0449,-0.3001,-0.0299,0.0441,-0.0179,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.197873,-0.3037,0.8499,0.0083,-0.4827,-0.2410,1.2250,-0.0299,0.0441,-0.0179,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.199423,-0.2178,0.9823,-0.0044,-0.4827,-0.2410,1.2250,-0.0299,0.0441,-0.0179,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.200371,-0.1978,1.0084,-0.2613,-0.4827,-0.2410,1.2250,-0.0299,0.0441,-0.0179,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.201309,-0.1695,0.9454,-0.1087,-0.4827,-0.2410,1.2250,-0.0299,0.0441,-0.0179,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.202262,-0.1695,0.9454,-0.1087,-0.4827,-0.2410,1.2250,0.0194,0.0416,0.0110,-0.3143,-8.8181,20.3629,175.7655,-100.7495,-8.0299,40.99961931,-74.33481262,0.00000000,
0.203167,-0.1695,0.9454,-0.1087,-0.4827,-0.2410,1.2250,0.0194,0.0416,0.0110,-0.3143,-8.8181,20.3629,174.9946,-97.4172,-9.5317,40.99961931,-74.33481262,0.00000000,
0.211230,-0.1695,0.9454,-0.1087,-0.4827,-0.2410,1.2250,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,174.9946,-97.4172,-9.5317,40.99961931,-74.33481262,0.00000000,
0.254985,-0.1695,0.9454,-0.1087,0.0308,0.0685,0.2237,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,174.9946,-97.4172,-9.5317,40.99961931,-74.33481262,0.00000000,
0.255948,-0.1695,0.9454,-0.1087,0.0308,0.0685,0.2237,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.256544,-0.1221,1.0240,0.0789,0.0308,0.0685,0.2237,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.257079,-0.3767,0.8734,-0.1714,0.0308,0.0685,0.2237,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.257712,-0.1309,1.0709,0.0056,0.0308,0.0685,0.2237,0.0194,0.0416,0.0110,1.1749,-8.2520,17.4835,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.258286,-0.1309,1.0709,0.0056,0.0308,0.0685,0.2237,-0.0181,0.0482,-0.0199,1.1749,-8.2520,17.4835,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.312722,-0.1309,1.0709,0.0056,0.0308,0.0685,0.2237,-0.0181,0.0482,-0.0199,0.4700,-10.6369,21.0648,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.314260,-0.2324,0.9312,-0.2188,0.0308,0.0685,0.2237,-0.0181,0.0482,-0.0199,0.4700,-10.6369,21.0648,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
0.315223,-0.1912,0.9251,-0.0112,0.0308,0.0685,0.2237,-0.0181,0.0482,-0.0199,0.4700,-10.6369,21.0648,175.0972,-96.9324,-9.5052,40.99961931,-74.33481262,0.00000000,
